Comment,Negative,Neutral,Positive
Family oriented with opportunities for remote work but pay is low.,0.99500376,0.003927407,0.0010688772
Pay is low work life balance is lacking.,0.9991959,0.00064438407,0.00015974855
Capacity bulding of the employees. Been member of the biggest humanitarian netword in the world,0.15647975,0.23752636,0.60599387
low salary and challenging work environnement,0.9990557,0.0007861268,0.00015813968
Good intentioned projects and conflict solving methodology.,0.00030114886,0.0003867991,0.99931204
Lack of managerial skills in senior staff. HQ (Finance and HR) isolated from the field.  Missions driven according to the mood of the staff on the top.,0.99902356,0.0008255628,0.00015090818
