Comment,Negative,Neutral,Positive
Good for youth to learn new skills,0.00018163836,0.00024442535,0.9995739
Nothing really to mention just regular volunteer work,0.00026877926,0.9990625,0.00066873286
AIESEC in Latvia is full of opportunities to grow and learn.,0.00019110116,0.00030151923,0.9995074
The only part that is disappointed it the financial sustainability,0.5139793,0.48564777,0.000372874
It is a challenging experience.,0.9944589,0.005412155,0.00012892543
It is a nonprofit organisation and there is a shortage of financial capacity,0.99878603,0.0010247866,0.00018922344
Salary colleagues office location and salary,0.0009239654,0.9983406,0.00073539617
Difficult kong hours few days off,0.99837434,0.0015051068,0.00012052344
